uid,eid,rid,id,title,stime,creator_company,creator_occupation,sign,creator_uname,browsecount,crawler_time
1769634,10048491,218895,86815,中金公司 | 京沪高铁业绩交流会,2022-05-05 15:00:00,中国国际金融股份有限公司,研究部,以人为本 以国为怀 勤奋专业 客户至上,中金研究部&股票业务部,83,2022-05-05 16:23:45
1914489,10048601,0,86935,启明星辰（002439）2022年第一季度报告业绩交流会,2022-05-05 15:00:00,,,领航信息安全,启明星辰,283,2022-05-05 16:23:45
2320445,10049275,0,87651,中航光电（002179）2022年一季度业绩交流会,2022-05-05 15:00:00,,,军工防务及高端制造领域互连技术解决方案提供商,中航光电,374,2022-05-05 16:23:45
1317175,10048896,0,87238,国君社会服务 | 零点有数年报暨一季报解读,2022-05-05 15:00:00,国泰君安证券,研究所,引领金融服务 共悦财富人生,国泰君安证券研究所,25,2022-05-05 16:23:45
2644962,10039984,0,77628,高新兴（300098）年报业绩交流会,2022-05-05 15:00:00,,,让城市“更安全、更智慧、更美好”,高新兴,74,2022-05-05 16:23:45
1604665,10048864,218828,87206,信达证券 | 星期六21年报及22年一季报业绩交流会,2022-05-05 14:30:00,信达证券,,崇德精业，诚信为本，规范经营，创新发展,信达证券研发中心,118,2022-05-05 16:23:45
1154678,10049386,218844,87769,天风基础化工 | 瑞华泰一季报交流会,2022-05-05 14:30:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,44,2022-05-05 16:23:45
1534239,10049161,0,87521,中信证券 | 亚钾国际（000893.SZ)一季报业绩交流,2022-05-05 14:30:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,198,2022-05-05 16:23:45
1534239,10049135,218815,87493,中信证券 | 中航重机一季报交流及全年展望,2022-05-05 14:00:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,491,2022-05-05 16:23:45
1201629,10048250,218814,86565,中信建投 | 东芯股份一季报交流,2022-05-05 14:00:00,中信建投证券股份有限公司,高级副总裁,中信建投电子首席分析师,刘双锋,72,2022-05-05 16:23:48
1234446,10047265,0,85548,长江家电 | 飞科电器2021A&2022Q1业绩交流,2022-05-05 14:00:00,长江证券,家电行业首席分析师,长江证券家电行业首席分析师,管泉森,207,2022-05-05 16:23:48
1448012,10048940,218813,87285,华鑫食饮 | 重庆啤酒近期进展交流,2022-05-05 14:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,149,2022-05-05 16:23:48
2173847,10048527,0,86857,银河机械 | 华锐精密2022一季报电话会议,2022-05-05 14:00:00,中国银河证券股份有限公司,研究所,创造财富，担当责任,银河证券研究所,98,2022-05-05 16:23:48
1228370,6883,0,87557,长江研究 | 五月金股,2022-05-05 19:00:00,长江证券,长江证券研究所,勤勉不懈，恪守专业,长江证券研究所,95,2022-05-05 16:23:48
1265844,10048052,0,86361,国信电子 | 士兰微一季报解读,2022-05-05 13:30:00,国信证券研究所,,同心同行,国信证券经济研究所,246,2022-05-05 16:23:48
1154678,10049252,0,87626,天风建筑建材  | 中国中冶经营近况交流,2022-05-05 13:30:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,58,2022-05-05 16:23:48
1448012,10049278,0,87654,华鑫电子 | 名家汇近期进展交流,2022-05-05 13:30:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,79,2022-05-05 16:23:48
1448012,10048928,0,87273,华鑫医药 | 太极集团近期进展交流,2022-05-05 13:30:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,133,2022-05-05 16:23:48
1333357,10047868,0,86174,国金轻工 | 中宠股份一季报业绩交流会,2022-05-05 13:30:00,,,这个人很懒，什么都没留下,尹新悦,197,2022-05-05 16:23:48
1231140,10048996,0,87346,方正医药 | 海普瑞2022年一季报业绩交流会,2022-05-05 13:30:00,方正证券,方正证券研究所,正在你身边,方正证券研究所,45,2022-05-05 16:23:48
1211641,10049182,0,87548,东北证券｜岱美股份财报解读&近况交流电话会议,2022-05-05 13:30:00,东北证券,东北证券,相融相通 互琢玉成,东北证券研究所,32,2022-05-05 16:23:48
1257051,10049141,218787,87499,中信建投 | 万凯新材2022年一季报解读会议,2022-05-05 13:30:00,中信建投证券,化工行业分析师,中信建投能源开采与石化首席分析师,邓胜,59,2022-05-05 16:23:48
1769634,10046520,0,84761,中金公司 | 德业股份年报&一季报业绩交流会,2022-05-05 13:30:00,中国国际金融股份有限公司,研究部,以人为本 以国为怀 勤奋专业 客户至上,中金研究部&股票业务部,334,2022-05-05 16:23:48
1769634,10048615,0,86952,中金公司 | 华依科技2021年报及2022一季报业绩电话会,2022-05-05 13:30:00,中国国际金融股份有限公司,研究部,以人为本 以国为怀 勤奋专业 客户至上,中金研究部&股票业务部,60,2022-05-05 16:23:48
