,date,name,SecuCode,SecuCategory,ListedState
16006717,2019-11-29 00:00:00,康缘药业,600557,1.0,1.0
16006845,2020-02-13 00:00:00,当升科技,300073,1.0,1.0
16006846,2020-02-17 00:00:00,恒华科技,300365,1.0,1.0
16006847,2020-02-19 00:00:00,恒润股份,834679,1.0,1.0
16006848,2019-04-17 00:00:00,恒瑞,,,
16006849,2020-02-12 00:00:00,恒生电子,600570,1.0,1.0
16006850,2020-02-11 00:00:00,恒立液压,601100,1.0,1.0
16006851,2020-09-16 00:00:00,恒逸石化,000703,1.0,1.0
16006858,2020-02-20 00:00:00,恩捷股份,002812,1.0,1.0
16006860,2020-02-20 00:00:00,成都银行,601838,1.0,1.0
6083556,2020/9/3-4,成都银行,601838,1.0,1.0
6084448,2020/11/11-13,成都银行,601838,1.0,1.0
4258291,2020/11/3-10,拓普集团,601689,1.0,1.0
16007751,2020-02-04 00:00:00,拓维信息,002261,1.0,1.0
204495,2020/1/8-9,招商积余,001914,1.0,1.0
204499,2020/1/8-9,招商蛇口,001979,1.0,1.0
16007753,2020-02-07 00:00:00,招商轮船,601872,1.0,1.0
16007752,2020-03-13 00:00:00,招商轮船,601872,1.0,1.0
16007754,2019-06-26 00:00:00,招商轮船,601872,1.0,1.0
2228835,2020-01-10 00:00:00,招商银行,600036,1.0,1.0
16007755,2020-02-24 00:00:00,振华科技,000733,1.0,1.0
16007760,2020-02-28 00:00:00,新北洋,002376,1.0,1.0
16007761,2020-04-02 00:00:00,新华保险,601336,1.0,1.0
16007766,2020-05-07 00:00:00,新华保险,601336,1.0,1.0
4055851,2020-01-14 00:00:00,新华保险,601336,1.0,1.0
16007772,2020-03-06 00:00:00,新大正,002968,1.0,1.0
6289902,2019/12/17-19,新澳股份,603889,1.0,1.0
16007844,2020-03-02 00:00:00,新疆众和,600888,1.0,1.0
6081374,2020/6/1-4,新经典,603096,1.0,1.0
6082141,2020-11-17 00:00:00,新经典,603096,1.0,1.0
6085348,2020/11/11-13,新网银行,,,
16007851,2020-02-19 00:00:00,旋极信息,300324,1.0,1.0
16007852,2020-02-09 00:00:00,旗滨集团,601636,1.0,1.0
6082142,2020/6/1-5,日月股份,603218,1.0,1.0
5069217,2020/11/3-10,旭升股份,603305,1.0,1.0
16007859,2020-02-28 00:00:00,昆仑万维,300418,1.0,1.0
16007853,2020-02-02 00:00:00,昆仑万维,300418,1.0,1.0
6290018,2019-12-05 00:00:00,易安在线,,,
16007865,2020-02-09 00:00:00,星源材质,300568,1.0,1.0
16007866,2020-02-07 00:00:00,春风动力,603129,1.0,1.0
6085340,2020/9/10-11,杭州创景,,,
6085339,2020/9/10-11,杭州善成 ,,,
16007973,2020-03-26 00:00:00,杭萧钢构,600477,1.0,1.0
6082143,2020-11-05 00:00:00,欢瑞世纪,000892,1.0,1.0
16007868,2020-02-03 00:00:00,欣旺达,300207,1.0,1.0
16007869,2019-04-02 00:00:00,欣旺达,300207,1.0,1.0
609403,2020/5/22-28,步步高,002251,1.0,1.0
6290019,2019/12/9-10,母婴专家,,,
16007870,2020-02-13 00:00:00,水晶光电,002273,1.0,1.0
6087388,2020-11-06 00:00:00,永兴材料,002756,1.0,1.0
16007872,2020-02-14 00:00:00,江海股份,002484,1.0,1.0
16007873,2020-02-20 00:00:00,江海股份,002484,1.0,1.0
6082144,2020/5/27-28,江苏租赁,600901,1.0,1.0
6085357,2020/5/27-28,江苏银行,600919,1.0,1.0
15804140,2020-12-21 00:00:00,沛嘉医疗,,,
6290020,2019/12/5-6,沧州中梁,,,
6289903,2019-03-04 00:00:00,河北宣工,,,
6289904,2019-03-04 00:00:00,河钢股份,000709,1.0,1.0
6290021,2019-12-05 00:00:00,泰康在线,,,
16007874,2020-03-06 00:00:00,泰禾集团,000732,1.0,1.0
16007889,2020-02-19 00:00:00,泰胜风能,300129,1.0,1.0
16006842,2020-12-31 00:00:00,洛阳玻璃,600876,1.0,1.0
